playerID,Player_Name,teamID,Team_Name,leagueID,League_Name,season,Games_Played,Total_Goals,Total_Assists,Total_Shots,Shots_Converted_Perc,Goals_Per_Game
1817,Mario Balotelli,170,Nice,5,Ligue 1,2016,23,15,1,75,20.0,0.65
2290,Iago Aspas,152,Celta Vigo,4,La Liga,2017,34,22,5,94,23.0,0.65
319,Marco Reus,129,Borussia Dortmund,3,Bundesliga,2017,11,7,0,31,23.0,0.64
594,Romelu Lukaku,106,Inter,2,Serie A,2019,36,23,2,99,23.0,0.64
619,Sergio Agüero,88,Manchester City,1,Premier League,2018,33,21,8,118,18.0,0.64
1148,Duván Zapata,107,Atalanta,2,Serie A,2019,28,18,6,89,20.0,0.64
1209,Ciro Immobile,96,Lazio,2,Serie A,2016,36,23,3,136,17.0,0.64
1709,Cristhian Stuani,223,Girona,4,La Liga,2017,33,21,0,73,28.999999999999996,0.64
1817,Mario Balotelli,170,Nice,5,Ligue 1,2017,28,18,1,108,17.0,0.64
2098,Luis Suárez,148,Barcelona,4,La Liga,2018,33,21,6,112,19.0,0.64
319,Marco Reus,129,Borussia Dortmund,3,Bundesliga,2018,27,17,8,69,25.0,0.63
356,Alexander Meier,132,Eintracht Frankfurt,3,Bundesliga,2015,19,12,1,49,24.0,0.63
498,Alexis Sánchez,83,Arsenal,1,Premier League,2016,38,24,10,129,19.0,0.63
942,Florian Thauvin,164,Marseille,5,Ligue 1,2017,35,22,11,129,17.0,0.63
956,Andrej Kramaric,120,Hoffenheim,3,Bundesliga,2019,19,12,2,44,27.0,0.63
1293,Gonzalo Higuaín,98,Juventus,2,Serie A,2016,38,24,3,134,18.0,0.63
1446,Sergio Floccari,104,Sassuolo,2,Serie A,2015,8,5,0,22,23.0,0.63
3406,Emiliano Sala,168,Nantes,5,Ligue 1,2018,19,12,2,36,33.0,0.63
3848,Carlos Tévez,98,Juventus,2,Serie A,2014,32,20,7,114,18.0,0.63
647,Harry Kane,82,Tottenham,1,Premier League,2014,34,21,4,112,19.0,0.62
647,Harry Kane,82,Tottenham,1,Premier League,2019,29,18,2,82,22.0,0.62
1148,Duván Zapata,107,Atalanta,2,Serie A,2018,37,23,7,118,19.0,0.62
2251,Gareth Bale,150,Real Madrid,4,La Liga,2017,26,16,2,76,21.0,0.62
3277,Alexandre Lacazette,178,Lyon,5,Ligue 1,2015,34,21,3,95,22.0,0.62
191,Chicharito,119,Bayer Leverkusen,3,Bundesliga,2015,28,17,2,64,27.0,0.61
318,Pierre-Emerick Aubameyang,83,Arsenal,1,Premier League,2018,36,22,5,94,23.0,0.61
318,Pierre-Emerick Aubameyang,83,Arsenal,1,Premier League,2019,36,22,3,93,24.0,0.61
618,Raheem Sterling,88,Manchester City,1,Premier League,2019,33,20,1,100,20.0,0.61
647,Harry Kane,82,Tottenham,1,Premier League,2018,28,17,4,102,17.0,0.61
838,Sadio Mané,87,Liverpool,1,Premier League,2018,36,22,1,87,25.0,0.61
1229,Luis Muriel,107,Atalanta,2,Serie A,2020,36,22,8,86,26.0,0.61
1513,Mauro Icardi,106,Inter,2,Serie A,2014,36,22,6,121,18.0,0.61
1741,Zlatan Ibrahimovic,89,Manchester United,1,Premier League,2016,28,17,5,115,15.0,0.61
1104,Leonardo Pavoletti,101,Genoa,2,Serie A,2014,10,6,3,20,30.0,0.6
1513,Mauro Icardi,161,Paris Saint Germain,5,Ligue 1,2019,20,12,2,36,33.0,0.6
1514,Éder,102,Sampdoria,2,Serie A,2015,20,12,2,53,23.0,0.6
1583,Arkadiusz Milik,164,Marseille,5,Ligue 1,2020,15,9,1,46,20.0,0.6
2306,Cédric Bakambu,154,Villarreal,4,La Liga,2017,15,9,0,31,28.999999999999996,0.6
3667,Nabil Fekir,178,Lyon,5,Ligue 1,2017,30,18,8,88,20.0,0.6
5988,Ibrahima Niane,180,Metz,5,Ligue 1,2020,10,6,0,23,26.0,0.6
1250,Mohamed Salah,87,Liverpool,1,Premier League,2020,37,22,5,126,17.0,0.59
1709,Cristhian Stuani,223,Girona,4,La Liga,2018,32,19,0,79,24.0,0.59
2098,Luis Suárez,148,Barcelona,4,La Liga,2014,27,16,14,75,21.0,0.59
2270,Antoine Griezmann,143,Atletico Madrid,4,La Liga,2014,37,22,1,78,28.000000000000004,0.59
2270,Antoine Griezmann,143,Atletico Madrid,4,La Liga,2017,32,19,9,72,26.0,0.59
2290,Iago Aspas,152,Celta Vigo,4,La Liga,2016,32,19,3,78,24.0,0.59
2410,Aduriz,147,Athletic Club,4,La Liga,2015,34,20,6,93,22.0,0.59
3294,Edinson Cavani,161,Paris Saint Germain,5,Ligue 1,2015,32,19,5,86,22.0,0.59
7052,Wout Weghorst,131,Wolfsburg,3,Bundesliga,2020,34,20,8,93,22.0,0.59
7142,Moussa Dembele,178,Lyon,5,Ligue 1,2019,27,16,2,56,28.999999999999996,0.59
319,Marco Reus,129,Borussia Dortmund,3,Bundesliga,2019,19,11,5,47,23.0,0.58
986,Danny Ings,74,Southampton,1,Premier League,2019,38,22,2,93,24.0,0.58
1250,Mohamed Salah,87,Liverpool,1,Premier League,2018,38,22,8,137,16.0,0.58
1426,Josip Ilicic,107,Atalanta,2,Serie A,2019,26,15,5,81,19.0,0.58
1804,Álvaro Morata,150,Real Madrid,4,La Liga,2016,26,15,4,55,27.0,0.58
1955,Luca Toni,94,Verona,2,Serie A,2014,38,22,2,125,18.0,0.58
2270,Antoine Griezmann,143,Atletico Madrid,4,La Liga,2015,38,22,5,92,24.0,0.58
2370,Karim Benzema,150,Real Madrid,4,La Liga,2018,36,21,6,104,20.0,0.58
2410,Aduriz,147,Athletic Club,4,La Liga,2014,31,18,4,88,20.0,0.58
5656,Nicolas Pepe,160,Lille,5,Ligue 1,2018,38,22,11,118,19.0,0.58
6980,Francesco Caputo,104,Sassuolo,2,Serie A,2019,36,21,7,73,28.999999999999996,0.58
11,Sandro Wagner,117,Bayern Munich,3,Bundesliga,2017,14,8,1,28,28.999999999999996,0.57
483,Daniel Sturridge,87,Liverpool,1,Premier League,2015,14,8,1,48,17.0,0.57
555,Memphis Depay,178,Lyon,5,Ligue 1,2020,37,21,12,110,19.0,0.57
802,Diego Costa,80,Chelsea,1,Premier League,2016,35,20,7,111,18.0,0.57
956,Andrej Kramaric,120,Hoffenheim,3,Bundesliga,2018,30,17,4,111,15.0,0.57
1209,Ciro Immobile,96,Lazio,2,Serie A,2020,35,20,6,119,17.0,0.57
1228,Bruno Fernandes,89,Manchester United,1,Premier League,2019,14,8,7,44,18.0,0.57
1383,Manolo Gabbiadini,102,Sampdoria,2,Serie A,2014,14,8,3,51,16.0,0.57
1612,Domenico Berardi,104,Sassuolo,2,Serie A,2020,30,17,7,113,15.0,0.57
2098,Luis Suárez,148,Barcelona,4,La Liga,2019,28,16,8,79,20.0,0.57
2370,Karim Benzema,150,Real Madrid,4,La Liga,2019,37,21,8,124,17.0,0.57
3577,Cheick Diabaté,180,Metz,5,Ligue 1,2016,14,8,1,27,30.0,0.57
3834,Ishak Belfodil,120,Hoffenheim,3,Bundesliga,2018,28,16,3,89,18.0,0.57
6630,Joe Willock,86,Newcastle United,1,Premier League,2020,14,8,0,19,42.0,0.57
7084,Dusan Vlahovic,110,Fiorentina,2,Serie A,2020,37,21,3,86,24.0,0.57
7967,Anssumane Fati,148,Barcelona,4,La Liga,2020,7,4,0,14,28.999999999999996,0.57
8637,Burak Yilmaz,160,Lille,5,Ligue 1,2020,28,16,5,66,24.0,0.57
558,Jesse Lingard,81,West Ham,1,Premier League,2020,16,9,4,42,21.0,0.56
1104,Leonardo Pavoletti,101,Genoa,2,Serie A,2015,25,14,3,67,21.0,0.56
